"WT_DW_1"	"WT_DW_2"	"WT_DW_3"	"WT_JA__10"	"WT_JA__11"	"WT_JA_4_28"	"WT_DW_41"	"WT_JA_41"	"myb47_95DW6_21"	"myb47_95JA6_31"	"myb47_95JA7_32"	"myb47_95JA9_24"	"myb47_95_DW5_27"	"myb47_95_DW__7"	"myb47_95DW_41"	"myb47_95JA_41"	"mycTKO_DW_4"	"mycTKO_DW_5"	"mycTKO_DW_6_20"	"mycTKO_DW_41"	"mycTKO_JA_13"	"mycTKO_JA_14"	"mycTKO_JA_15"	"mycTKO_JA_41"
"AT1G02450"	138.74	115	102.004	29	18	99	5.019	0	6	50.555	0	1	2	28	2	0	37	36.653	26.02	3	12	15	1	0
"AT1G02460"	56.998	91	62	67.46	65.069	49	21.011	99	49.657	102.388	173.416	177.603	259.354	67	25	150	79	54.061	59.003	39	59.681	66.983	59	57.621
"AT1G02470"	642.194	588.835	606.016	908.19	795.739	763.53	97.064	2246.536	328.281	927.157	733.7	1442.818	1937.49	345.909	71	3160.8	241.001	279.922	476.229	64	357.106	264.023	224.99	127.022
"AT1G02475"	2605.806	2537.004	2288.498	2178.735	2242.995	2243.556	2549.977	3673.579	1680.254	2234.276	4024.274	3274.674	4223.456	2006.022	2964.29	2883.102	2677.736	2778.564	2183.242	2682.106	2534.838	2242.713	1572.806	2432.561
"AT1G02500"	16647.352	25556.772	26659.836	11774.797	11821.495	9590.399	7748.63	7346.086	16287.223	12775.044	8997.235	8322.045	10079.063	15249.456	7435.932	11363.353	23231.809	15818.883	11949.273	10559.489	13379.773	14130.511	11591.419	8209.782
"AT1G02520"	21.93	22	42	20	14	1	3	4	2	3.001	6	11	7	5	4	35	5	5	7	6	74.97	39	76	36.014
"AT1G02560"	8153.854	9149.665	8428.149	6705.371	7032.5	6690.304	6502.876	11987.784	7019.346	7327.986	9285.909	8816.555	11409.963	7729.935	7396.81	9481.332	8808.234	8008.881	7124.926	7194.243	6351.521	6433.069	4810.881	5110.688
"AT1G02610"	364.028	397.122	355.928	295.746	367.173	265.532	178.282	671.091	406.044	668.207	452.666	393.388	517.613	308.058	316.577	458.142	133.06	264.249	349.57	235	283.142	287.049	305.001	523.757
"AT1G02640"	75.494	173	148.777	36	42.133	25.005	68.001	8	128.93	73.165	21	29	40	61.001	37	1	54.003	55.703	41.047	45	19.04	37.739	42	38
"AT1G02650"	16.001	22	11	8	21	6	9	18	15.003	5	3	3	7	7	14	11	7	11	11	14	11	6	14	12
"AT1G02660"	1118.413	1589.385	1821.474	1893.508	1209.596	792.591	3739.877	1387.305	1191.38	807.15	1030.035	1084.006	1222.656	477.331	1764.668	1315.283	476.409	932.971	559.813	3388.791	1218.852	1243.704	1179.343	1808.469
"AT1G02670"	32	35	37	27	33.003	16	24.313	10	48.08	22	22	15	23	14	39.003	27	38	37	26	56	32	30	27	34.022
