"WT_DW_1"	"WT_DW_2"	"WT_DW_3"	"WT_JA__10"	"WT_JA__11"	"WT_JA_4_28"	"WT_DW_41"	"WT_JA_41"	"myb47_95DW6_21"	"myb47_95JA6_31"	"myb47_95JA7_32"	"myb47_95JA9_24"	"myb47_95_DW5_27"	"myb47_95_DW__7"	"myb47_95DW_41"	"myb47_95JA_41"	"mycTKO_DW_4"	"mycTKO_DW_5"	"mycTKO_DW_6_20"	"mycTKO_DW_41"	"mycTKO_JA_13"	"mycTKO_JA_14"	"mycTKO_JA_15"	"mycTKO_JA_41"
"AT3G14980"	398.408	585.055	447.23	255.304	285.97	131	480.656	128.076	516.29	292.727	178.22	174.076	178.07	487.447	339.046	133	406.017	347.199	501.127	520.027	200.565	279.948	209.964	198.076
"AT3G14990"	7806.764	10242.068	8804.198	8306.528	8409.939	11548.261	2343.026	8550.556	4200.67	7883.622	6301.773	7385.957	9014.017	4733.361	2425.455	14033.397	3204.668	2539.495	4527.922	1818.932	7679.906	7755.554	6638.006	19386.373
"AT3G15000"	2089.017	3226.95	3111.36	1989.144	1878.346	1156.039	2000.094	931.535	3964.633	2005.765	1579.924	1106.938	1313.751	3386.618	2006.659	835.042	6345.043	4136.776	2636.68	2638.966	3492.649	4592.653	3989.369	2064.403
"AT3G15010"	873.855	1276.09	1073.846	828.923	773.25	459.865	640.85	538.072	883.52	741.305	799.808	808.079	991.545	931.724	657.156	633.044	1312.882	919.987	793.787	733.342	792.028	809.49	748	500.958
"AT3G15020"	292.4	366.035	309.458	286.022	307.488	157.021	355.18	575.918	445.994	382.082	419.758	443.23	600.695	604.509	417.254	569.057	727.45	498.209	590.742	369.155	766.547	750.598	579.613	379.008
"AT3G15030"	709.622	1073.81	872.27	514.418	523.054	130.666	1176.603	195	1043.241	428.7	382.154	235.938	285.702	682.871	1022.118	287.703	1136.792	891.617	671.593	1356.755	721.972	963.452	573.28	549.124
"AT3G15040"	323.393	385.709	342.441	335.877	344.664	210.918	221.281	274.358	310.923	348.104	268.549	248.004	261.198	307.429	211.081	246.074	304.071	316.053	329.153	243.997	227.601	282.05	199.209	167.051
"AT3G15060"	369.875	366.295	384.502	377.964	349.97	750.08	330.131	303.95	261.334	369.953	430.947	339.023	426.458	282.415	260.187	359.111	279.649	226.642	279.568	336	201.313	169.207	136	200.136
"AT3G15070"	902.433	887.176	923.692	634.528	592.318	495.028	493.264	598.227	657.256	746.37	573.13	503.224	638.939	623.285	543.735	527.617	775.621	759.627	660.89	618.376	621.787	622.681	498.813	527.234
"AT3G15080"	210.025	180.177	205.194	175.638	158.212	97.692	171.844	129.001	197.231	210.018	153.603	97	144.004	205.533	131.104	146.003	341.086	264.353	202.36	184.999	264.225	238.204	209.098	189.651
"AT3G15090"	430.438	425.992	457.063	298.849	268.907	315.167	449.293	540.699	401.918	334.401	532.919	475	560.114	460.086	534.021	490.339	718.052	643.813	454.929	602.293	695.513	581.225	458.056	468.464
"AT3G15095"	1282.842	1913.05	1729.644	1154.458	1143.622	951.698	2143.375	1125.821	2133.27	897.467	728.562	645.232	706.447	1841.229	1856.363	523.897	1699.136	1322.699	1510.258	1953.091	549.106	577.214	543.239	698.272
"AT3G15110"	766.697	910.03	799.93	570.729	590.011	311.254	1238.517	920.366	705.623	623.693	1239.148	905.257	1178.647	782.978	1395.939	820.763	1254.943	1009.969	729.308	1464.782	1222.02	1350.886	954.368	1214.106
"AT3G15115"	107.028	95	83	39.384	50.007	7	142.636	42	70.239	41.013	92.985	55.86	64	67.025	262.009	71.85	97.031	93.121	60	184.004	20	28	19	102
"AT3G15120"	576.249	859.96	855.589	479.647	419.887	280.066	659.508	441.207	755.842	425.478	316.089	355.038	428.781	612.448	448.102	396.847	867.999	704	557.947	695.984	493.324	603.78	483.016	338.086
"AT3G15130"	27.026	29	32	20	18	3	20	7	38.004	34	17	22	12	23	10	7	33	27	25	23	16	23.727	23	16.072
"AT3G15140"	90.052	64	69	67.662	69.225	19	112.025	53.072	91.082	69.455	100.999	65	88.32	91.869	107.009	57.005	139	107.493	76.204	141	88	104.411	72	64.443
"AT3G15150"	69.385	87	84.372	86.357	61.565	62.014	39	59	128.001	61.305	52.024	47	75.22	88.964	81.983	88.184	113	105.819	83.723	87	67.053	92	54	73.073
"AT3G15160"	862.161	808.993	841.389	728.633	732.173	415.427	745.361	392.047	755.86	741.488	434.843	370.871	432.194	662.929	631.127	537.321	942.243	877.365	691.639	841.472	843.842	860.052	620	728.584
"AT3G15180"	475.151	671.049	561.205	488.029	492.258	474.84	594.361	698.057	492.594	463.642	596.612	641.495	820.158	566.734	577.411	663.044	762.526	592.849	550.976	552.304	607.542	639.819	532.046	408.328
"AT3G15190"	2398.51	2588.406	2290.147	1559.181	1627.958	2412.933	3436.323	1239.915	1916.43	1765.185	2030.601	1202.14	1620.719	2384.068	3637.656	1027.625	2666.25	2361.571	2008.49	3382.591	1984.63	2059.232	1455.872	1699.319
"AT3G15200"	23	34	34	68.014	24.871	10	102.108	12	38.943	38	31	18	19	29.998	89	8	35	42.943	27.001	130	30.316	44	36	25
"AT3G15210"	1831.568	2109.605	2128.117	6850.487	6150.396	4579.068	11009.399	4552.812	7859.123	4073.091	1954.389	800.036	1035.754	3536.9	7989.618	1976.656	5467.775	5729.97	2927.225	11853.986	4149.799	4996.695	3772.515	6859.229
"AT3G15220"	567.46	696.968	630.82	419.85	456.797	132.128	669.058	428.485	630.687	414.925	293.261	292.098	350.512	583.987	535.461	474	725.857	573.45	586.67	709.177	502.364	517.469	411.034	444.708
"AT3G15260"	1394.868	1589.632	1558.595	1432.182	1366.228	1313.885	1385.822	718.526	1630.257	1428.525	892.208	560.23	776.683	1701.552	1360.502	927.073	2243.838	1773.853	1612.257	1876.667	1779.03	1685.005	1273.063	1250.48
"AT3G15270"	69	74	51.01	71.098	78.165	103.003	117.113	51	59.185	104.104	227.758	112	174.402	84	103.003	23.897	85.004	26	81.061	109	6	9	4	12
"AT3G15290"	452.821	598.759	542.302	473.334	501.95	487.847	449.581	700.728	487.952	503.369	451.852	388.916	532.495	557.177	457.856	561.522	627.209	521.36	487.614	404.001	501.287	534.046	477.566	585.148
"AT3G15300"	51	49	68	44	53.97	59	21.521	15	41.016	36.358	39.003	27	29.093	48	43.004	3	66	54	53	39	50.003	56.06	33	24
"AT3G15310"	120.566	133.803	133.439	88	91.896	48	103.188	53	41.007	49.102	165.024	89.878	155.053	81	152.395	28	91.053	75.004	95	50	15	9	5	21
"AT3G15340"	61	76	95.995	19	19.068	16	9	0	10	9	3	2	2	18	8	0	46	51.02	16	12	29.002	9.002	13	0
"AT3G15350"	381.001	460.3	376.053	567.032	584.65	306.5	1541.585	388.079	540.985	403.748	391.428	305.64	386.021	657.305	919.042	338.435	585.355	596.236	584.701	1644.452	470.618	549.252	361.863	340.574
"AT3G15351"	254.557	225.878	232.003	209.832	239.484	349.133	194.736	213	237.797	263.431	208.261	140.366	170.141	218.854	218.012	196.206	250.029	258.229	201.544	252.999	267.54	246.536	197.356	229.138
"AT3G15352"	110.143	131	151	144.243	148.055	366.039	91.256	321.673	148.18	176.155	297.385	211.791	310.41	119.441	143.466	309.79	246.878	180.532	121.1	144.145	338.642	381.194	251	288.346
"AT3G15353"	42891.305	64191.64	43557.878	30407.928	39301.006	59710.361	55338.315	20685.475	57786.181	50333.672	39350.73	18253.202	25928.827	53002.829	54410.973	17657.833	86758.603	56508.43	38414.654	58675.092	51773.882	73844.405	53723.394	49522.232
"AT3G15354"	1201.976	1549.308	1337.949	892.118	865.46	299.058	3472.669	1623.111	1512.028	699.244	1258.509	1233.895	1298.063	1486.399	3674.023	1998.578	2430.346	1997.079	1308.39	4231.689	1026.95	1050.157	701.828	1619.154
"AT3G15355"	917.035	896.514	940.095	702.376	659.141	452.922	414.612	311.904	610.092	686.702	374.546	335.45	420.578	603.058	467.508	280.258	855.999	720.359	704.162	505.554	661.943	592.758	444.028	332.145
"AT3G15356"	5123.82	5641.745	5945.012	21049.714	19746.204	17511.349	2975.91	2535.746	33737.432	10667.315	10490.318	2666.459	4024.663	3818.181	2487.418	13356.744	66361.868	52447.105	4226.266	24537.171	219165.056	246802.893	177969.472	137191.204
"AT3G15357"	18	11	10	8.032	6.005	26.957	12	5	15	15.025	9	4	5	16	9	7	51	40.096	12	28	31	42	30	17
"AT3G15358"	85	80	73	72	65.986	135.018	51	17	98.008	81.185	76	38	67.421	76	47	31	81	104.666	100.001	68.005	79.912	93.33	73	88.21
"AT3G15360"	7246.629	8958.114	8270.815	4309.527	4109.91	5876.834	11067.7	6748.64	6493.758	4653.981	6896.927	4379.897	5390.003	8216.519	12239.852	4386.988	10402.384	8510.853	6921.077	12204.782	6018.529	6174.007	4464.715	7709.591
"AT3G15380"	623.853	817.155	745.067	499.362	542.372	152.79	662.929	246	764.839	550.207	427.84	372.219	414.65	807.138	546.966	154.055	845.96	700.742	759.24	684.851	455.509	558.819	379	225.019
"AT3G15390"	217.445	258.01	220.397	201.339	145.503	298.042	340.907	117	196.453	191.028	147.659	85	120.067	292.035	358.429	85.976	289.073	272.764	277.794	358.005	194.912	185.018	119.001	191.083
"AT3G15395"	222.985	245.878	207.002	235.026	255.044	848.602	256.088	254.124	223.154	246.314	276.692	188.999	232.7	248.99	263.419	213.162	255.999	249.023	256.603	231.149	254.915	236	173	225.016
"AT3G15400"	87.913	132	110.712	91	90.598	13.003	166	49.065	92.25	88.586	62.998	48	81	109	127	77	126	85.431	78	163.016	44	49.007	44	55.043
"AT3G15410"	842.858	833.33	822.569	762.657	718.538	186.009	813.63	458.406	792.352	723.23	494.077	408.98	478.976	850.334	795.312	526.05	983.175	867.774	998.316	789.406	744.459	711.12	529.077	449.428
"AT3G15420"	58.999	52	43	49.031	51.228	88.914	37.265	41	34.022	52.006	43.994	25	22	38	25	23	56	59.524	48	48	56.988	39.981	42	51.282
"AT3G15430"	1107.283	1352.628	1206.259	1009.372	939.513	709.368	1005.108	649.673	949.351	979.02	904.684	832.397	1011.614	1004.825	1062.08	771.996	1386.887	1119.285	947.737	1295.278	980.876	924.008	772.481	779.136
"AT3G15450"	15067.442	18226.333	19063.702	5149.725	6208.779	14933.129	3977.979	7243.831	9570.491	17616.227	7757.757	9096.652	10967.448	4268.659	5629.864	7555.156	3288.732	7332.339	5322.523	7027.958	12385.893	13404.717	13760.927	25173.103
"AT3G15460"	203.373	181	190.948	222.661	204.606	216	188.994	120	274.308	196.883	191.179	127.187	144.758	292.008	192.019	136	416.928	386.496	265.869	274.022	304.201	299.063	234.509	197.183
"AT3G15470"	746.504	1052.95	1042.482	659.555	589.042	448.727	891.948	680	854.808	556.286	521.586	582.3	594.711	770.651	797.623	729.229	908.682	757.175	727.657	949.034	692.14	678.971	541.374	563.45
"AT3G15480"	682.796	691.999	568.177	516.493	576.388	465.795	816.68	210	763.425	629.16	495.408	309.009	486.121	776.773	688.623	196	722.996	689.44	814.341	674.415	460.367	484	373.903	322.641
"AT3G15500"	756.091	721.152	938.093	1513.347	1320.224	780.378	761.171	6359.485	2073.031	1330.342	1699.792	2121.035	2353.599	687.644	642.551	7017.746	1982.015	2789.318	723.576	738.275	7195.445	7375.163	5954.038	7438.043
"AT3G15510"	1045.807	1358.843	1216.145	976.679	1071.954	499.054	1129.828	1402.867	1114.919	1150.778	1112.261	875.672	1008.565	1181.228	1619.882	1552.028	1680.479	1584.856	1240.384	1407.501	1631.656	1889.33	1387.317	1764.138
"AT3G15518"	225.356	293.66	351.415	594.872	422.083	983.013	234.718	354.007	357.525	229.612	231.956	120.032	194.886	222	333.883	454.568	451.077	379.645	178.214	437.073	379.188	325.839	306.93	381.085
"AT3G15520"	324.652	385.809	343.001	208.076	192.189	98.006	561.32	106.035	193.193	219.55	254.938	141.008	170.996	292.076	523.492	59	251.401	253.546	287.658	387.251	127.001	123	88	137.506
"AT3G15530"	972.362	1228.79	1085.971	1478.719	1395.577	1295.385	4135.432	471.898	2068.476	1009.151	508.766	339.791	409.064	1091.854	2721.693	286	1723.302	1733.994	1088.385	4246.461	1091.838	1034.741	899.775	1008.811
"AT3G15536"	89.836	47	70.001	17.066	22	36	133	4	19	25	18	4	10	39	437.319	2	134	140.139	46.674	342	48	26	15	11
"AT3G15540"	57.004	58	53	36	20.997	38	98.825	0	56	35.417	15	8	7	43.999	72.571	0	117.412	100.526	56	184.289	73	46	48	18
"AT3G15550"	15	21	16	12	11.001	0	42.034	9	25.018	24	20	30	31	39	30	14	38	33	35.002	18	13	8	7	4
"AT3G15570"	444.657	588.496	458.427	181.368	170.008	131	442.41	13	404.991	320.255	37	11	20	665.603	364.733	4	370.373	330.556	646.421	371.15	93.125	97.019	79	39
"AT3G15580"	1134.545	1099.202	1153.993	979.398	984.43	2043.372	843.733	935.977	929.972	1157.773	871.575	591.428	920.211	1023.987	755.869	746.123	1251.138	1125.541	964.958	868.02	915.689	1071.183	716.269	884.423
"AT3G15590"	756.709	884.76	924.817	726.063	637.897	588.522	637.694	387.003	896.051	659.241	515.473	417.039	505.094	794.405	646.267	345.181	1259.923	1055.113	790.399	827	944.896	982.993	767.089	620.915
"AT3G15610"	1045.635	1152.535	1094.434	880.511	877.112	886.989	746.35	666.796	870.355	938.217	669.963	638.029	762.073	1008.42	660.168	689.462	1133.836	1088.165	972.326	793.233	984.423	901.988	706.192	770.394
"AT3G15620"	156.999	189	178.908	90.028	72	116	60.055	15	114.036	132.096	25	21	18.514	104	57	9	50	57.995	109.484	75.003	55.002	41	42	84.131
"AT3G15630"	1850.563	2256.705	2308.37	936.99	1027.897	1176.948	642.304	403.722	1910.27	1878.134	785.371	672.048	822.085	872.323	1057.656	556.226	835.568	1284.034	1053.28	1426.062	1616.895	1737.098	1547.635	2515.83
"AT3G15640"	1020.743	1202.463	1211.618	1045.044	1023.848	950.279	1241.85	1307.671	949.371	1178.3	1462.568	1181.808	1577.786	1128.303	1588.547	1635.356	1701.032	1356.625	975.478	1750.562	1830.479	1859.838	1524.846	2229.321
"AT3G15650"	583.637	826.917	468.871	634.63	635.014	662.797	1250.333	1764.766	778.153	1498.413	1635.323	2201.94	2793.307	1214.906	743.53	854.912	855.413	600.361	1167.204	579.019	201.318	209.738	137	46
"AT3G15660"	1321.719	1203.01	1259.612	1313.243	1267.775	1898.122	1001.717	1293.444	1241.664	1467.413	1359.268	1087.269	1350.473	1295.232	1001.46	1382.912	1662.634	1636.617	1458.289	1426.831	1776.102	1587.928	1144.661	1287.858
"AT3G15680"	34.166	90	58	29.029	48.47	63	191.914	19	82.211	62.668	73	44.483	46	127	97.562	26	117.996	87.545	142	123.724	26	48	35	28
"AT3G15690"	1100.323	1105.035	956.124	884.528	891.395	783.932	1241.564	1065.101	997.935	977.781	1192.038	942.627	1114.767	976.001	1302.015	787.943	1259.602	1271.489	1209.763	1355.464	1180.516	1009.411	723.98	985.981
"AT3G15710"	721.54	829.845	826.004	626.961	624.676	808.795	688.132	376.794	681.87	766.593	667.583	413.298	543.035	818.255	716.789	339.006	928.036	758.542	781.48	801.583	695.812	657.225	545.418	456.646
"AT3G15720"	45	77	60	59.022	92	8	37.055	78.017	57.293	99.517	98.348	107.402	144.001	94	79	29	42	31.002	121.58	21	12	4	7	0
"AT3G15730"	11057.28	16042.73	14582.473	10067.763	9795.426	4080.915	10530.683	5537.212	15436.256	10019.186	7878.432	7583.83	8773.34	14205.58	9107.143	4618.828	17871.838	13591.344	12707.894	11436.559	11120.608	12222.39	10691.762	6314.16
"AT3G15750"	52.4	61.34	38.115	47.641	57.191	66.45	74.388	81.344	44.535	61.015	52	41.237	50.108	52.327	102.244	65.39	66.115	63.696	72.853	118.122	61.831	40.136	22.099	55.138
"AT3G15760"	345.809	387	370.193	700.119	544.554	532.389	817.285	635.387	407.721	376.514	137.015	116.469	144.209	213.122	777.454	474.041	366.019	473.569	222.021	917.329	187.926	166.876	152.999	315.393
"AT3G15770"	610.711	554.07	520.048	637.558	627.198	1169.02	686.725	662.706	340.109	802.281	558.888	489.421	486.372	384.116	447.385	550.689	342.986	369.131	433.148	661.978	308.16	249.412	249.106	267.963
"AT3G15780"	308.343	418.984	382	271.825	255.14	510.419	542.382	377	406.413	379.296	422.287	263.957	362.316	406.589	545.37	255.949	658.645	438.419	315.52	770.679	398.67	584.924	385.987	452.023
"AT3G15790"	614.533	599	513.165	1244.846	1258.156	2583.163	1214.737	1511.138	473.78	1167.978	1602.498	1165.443	1325.157	637.251	997.411	833.654	555.023	519.578	637.38	833.76	509.528	406.873	327.294	486.168
"AT3G15800"	17	20	26	12	23	19	9	19.902	13.007	25.001	27	36.009	49.03	33	18	26	34	7	18	14	5	7	13	10
"AT3G15810"	1469.352	1851.433	1694.844	2664.199	2099.272	3828.163	3955.138	2744.418	1931.65	1475.892	1454.384	1134.796	1445.383	1711.82	3726.194	1388.426	2308.433	1931.504	1453.364	4320.958	1464.488	1378.544	1133.016	1699.487
"AT3G15820"	502.302	723.111	688.708	626.344	614.703	855.069	463.321	296.978	648.993	456.674	313.543	164.119	257.938	517.388	496.453	334.694	695.178	476.791	436.178	614.164	504.067	696.833	428.051	493.921
"AT3G15840"	7763.825	8557.054	8162.169	5743.237	5711.555	4090.802	11305.637	14181.195	6019.81	6403.115	12482.152	10538.515	13495.309	7085.991	11578.982	8781.013	9931.656	8570.833	6539.791	12832.784	6243.169	6598.051	4784.361	8702.805
"AT3G15850"	2119.129	2302.989	2062.186	1151.431	904.506	1993.968	3187.532	530.635	1314.297	1218.574	993.43	325.624	488.979	2159.018	4151.098	343.011	2142.544	1872.938	1809.599	3608.371	916.389	727.158	510.398	1084.008
"AT3G15880"	2017.473	2862.715	2553.109	1508.456	1482.367	287.498	2198.308	1630.153	2230.504	1402.817	1725.537	1936.507	2384.172	1971.228	2141.368	1823.678	2742.078	2150.646	1871.884	2346.648	1645.865	1743.719	1440.995	1282.87
"AT3G15890"	138.093	181.461	158.027	125.686	138.337	110.06	88.969	140.007	164	128.046	109.105	101.78	101.017	152	100.043	103.865	148	114.34	138.981	112.021	89.986	97	65	96.001
"AT3G15900"	505.456	603.257	519.386	352.361	314.038	428.631	595.003	867.314	335.395	439.961	704.298	664.617	892.886	408.893	691.384	632.091	437.23	415.693	411.246	706.744	266.723	283.703	215	351.155
"AT3G15920"	916.405	1033.798	965.565	722.09	679.879	748.056	715.298	667.958	740.495	713.345	603.534	592.675	663.716	839.076	645.11	652.98	1012.864	810.737	854.495	930.298	741.325	772.979	572.282	554.883
"AT3G15930"	16	25	16	11.045	12.179	0	16	8	15	9	17	5	6	8.702	14.001	5	7	14.56	18	29	10	13	9	13
"AT3G15940"	653.421	821.028	809.589	576.014	610.245	312.052	554.901	300.418	788.829	630.681	316.364	347.011	352.252	867.467	454.889	261	878.207	676.911	760.353	572.97	616.172	668.017	532.965	293.02
"AT3G15950"	500.382	615.084	626.599	1328.639	1612.38	805.97	310.191	505.608	1152.947	965.962	1666.306	1627.728	1778.749	557.002	361.095	994.355	1027.049	765.538	563.017	461.156	2013.26	2129.758	1631.038	701.242
"AT3G15970"	516.823	650.04	626.089	473.705	444.443	578.67	462.053	512.358	613.236	531.194	406.033	385.056	441.227	689.748	477.008	363.797	850.317	585.905	605.547	446.176	467.023	532.405	433.256	405.094
"AT3G15980"	1553.385	1956.576	1872.302	1312.086	1253.632	822.866	1416.779	957.33	1631.456	1355.077	1136.955	1188.855	1260.923	1866.13	1279.713	1096.69	2358.392	1905.113	1791.024	1533.59	1831.941	1927.107	1590.578	1139.026
"AT3G15990"	100.108	127.008	100.01	106.75	94.007	59	133.434	557.22	233.253	160.701	245.928	352.374	452.929	195.13	110.418	307.085	225.003	141.354	273.449	115	205.201	131.564	167.816	50.999
"AT3G16000"	2122.604	2471.704	2267.806	1405.553	1427.397	1566.102	2237.061	1832.549	1650.733	1300.925	1919.047	1491.283	1713.034	2011.087	2329.791	1266.351	2289.265	1924.747	1960.77	2460.588	1416.016	1348.21	1121.076	1233.745
"AT3G16010"	134.734	189.019	177	95.939	122.001	111	103	79	153.594	107.134	110.061	130	109.133	161	109.632	58.005	183.361	145.798	168.143	129	127.066	108.447	85	92.004
"AT3G16030"	408.056	531.228	495.021	229.021	151.731	199.028	440.402	71	229.471	194.694	104.981	66.002	96.205	343.08	295	59.942	319.952	253.479	320.404	478.052	161.484	150.001	106.061	145.002
"AT3G16050"	229.482	242.076	233.982	420.897	350.207	631.894	381.387	85	393.314	272.815	127	85.029	77.042	443.387	323.001	80	402.393	339.016	414.071	304.859	259.308	270.105	206.695	139.009
"AT3G16060"	879.169	1230.589	1079.286	701.753	792.477	579.196	907.567	474.932	1000.156	777.703	491.28	520.247	544.343	1254.214	1010.064	414.292	1318.997	1051.207	1253.441	990.387	815.376	882.19	698.048	580.997
"AT3G16080"	1285.547	1783.976	1661.308	1119.362	1079.522	1477.799	1109.669	770.773	1487.566	1160.463	941.419	654.314	770.49	1712.166	1295.446	854.8	2488.902	1664.889	1268.855	1634.956	1786.935	2233.419	1817.777	1559.166
"AT3G16090"	563.928	686.406	510.032	517.049	460.695	266.182	383.596	434.616	439.08	428.504	497.984	487.249	520.341	450.098	486.998	401.064	581.014	558.888	505.821	487.77	493.615	428.838	361.389	370.033
"AT3G16100"	400.521	453.404	439	406.306	443.962	522.385	614.226	565.999	486.632	394.701	675.885	468.841	580.413	496.124	706.081	463.016	774.014	627.969	504.469	637.97	654.305	581.491	394.297	490.802
"AT3G16110"	621.835	702.655	680.925	595.663	524.272	607.933	457.11	394.016	674.314	467.324	505.406	459.066	493.43	693.012	474.108	406.323	782.396	697.597	644.008	559.977	700.033	700.556	526.009	414.818
"AT3G16140"	13866.479	14885.44	13414.24	8573.385	10079.251	4958.585	16145.831	9024.106	10991.025	9650.631	10144.156	4705.877	7264.051	11657.673	17402.595	5127.659	13492.377	12554.427	10611.621	14024.768	6649.203	8160.821	5241.084	7348.914
"AT3G16150"	33.002	66	74	134.172	122.217	178	13	58	17.411	29	55.099	42.167	67.449	18	41	154	24.02	28.005	10	11	59	33	36	54
"AT3G16170"	386.875	513.002	470.567	373.704	400.221	251.646	399.286	585.718	431.214	436.412	476.966	466.029	628.454	501.752	456.171	512.975	666.453	473.483	533.717	391	481.814	442.017	381.291	330.248
"AT3G16175"	15	31.003	16	7.048	13.639	13	45	43	11.02	4	21	13	17	19	87.202	24	29	20	14	53	3	4	0	16
"AT3G16180"	295.839	344.506	360.001	242.331	192.738	173.183	134.078	3	338.319	137.076	52.047	21	20	245.041	120.002	0	336.647	274.58	304.319	190.013	122.28	124.002	121	75.079
"AT3G16190"	908.121	919.822	996.035	937.487	924.599	686.903	764.71	1321.479	819.012	1043.619	811.164	629.804	882.894	964.928	840.269	1026.305	1039.943	876.137	751.685	759.699	987.495	961.78	731.927	1075.152
"AT3G16200"	347.108	385.558	392.001	234.613	267.952	214.559	197.758	113.361	419.771	256.408	168.991	147	151.328	343.174	246.08	141.844	498.657	425.16	380.568	281.344	338.066	367.937	319	215.696
"AT3G16220"	1213.664	1153.944	1082.002	1183.703	1007.885	1418.791	1076.896	586.637	853.626	861.819	861.841	438.466	648.148	830.156	1268.42	691.243	1093.823	1089.083	843.753	1292.979	905.121	851.154	638.282	1058.159
"AT3G16230"	743.215	776.916	712.701	694.305	680.417	539.788	873.517	1004.619	647.271	681.139	868.272	754.146	939.237	753.257	889.017	858.83	972.162	831.434	708.313	827.753	609.373	647.585	454.056	598.79
"AT3G16240"	520.025	819.091	631.71	301.671	338.641	406.471	370.793	186.24	534.265	402.405	368.941	306.78	303.068	707.475	384.888	55	352.669	214.803	790.853	202.297	93.603	93.035	99.52	102.392
"AT3G16250"	806.796	870.473	755.993	267.882	268.974	259.882	1820.23	95	454.33	371.851	488.673	170.006	239.165	777.561	2176.363	40	602.608	546.541	576.356	1897.346	116.881	108	86	201.018
"AT3G16260"	712.549	920.863	700.049	483.94	454.241	414	710.891	364.092	655.431	461.665	457.215	406.658	511.148	724.455	802.526	320.826	815.327	751.673	690.728	900.37	508.46	521.214	402.208	379.001
"AT3G16270"	1338.584	1543.882	1468.791	1379.205	1262.785	784.908	1206.406	1313.369	1346.644	1276.167	1838.945	1845.156	2073.545	1261.954	1139.369	1434.965	1812.853	1599.619	1383.47	1276.105	1502.696	1584.878	1244.441	1041.218
"AT3G16280"	29	35	22.001	27.027	30.77	35	40.007	47	33	34	43	18.002	33	46	56	56	58	52	36	27	41.935	39	21	38
"AT3G16290"	1029.741	1400.691	1248.48	835.283	860.447	491.859	1469.267	1082.284	1167.859	783.903	1004.234	1012.944	1156.506	1409.17	1220.96	831.068	1679.704	1240.43	1301.275	1471.015	1071.706	1167.283	977.341	815.029
"AT3G16310"	544.165	606.472	608.37	521.522	468.7	344.019	387.509	284	605.863	524.654	350.968	293	343.884	525.33	402.059	308.037	879.098	730.738	544.065	516.001	580.882	604.661	480	463.574
"AT3G16320"	32.009	50.006	26.478	22.964	25	8	41	19	51.001	30	16.853	24	18.001	31.326	45	26.002	76.294	64.786	32	71	67	63.001	50	56.536
"AT3G16330"	114.851	156.153	114	175.292	195.672	175	41.568	511.351	48.709	204.776	490.902	565.558	607.043	64	47	639.556	78	48.664	78.028	23	53.146	36.786	28	23
"AT3G16340"	173.005	320	238.305	126.69	174.416	98.724	179.269	601.808	180.634	190.06	410.004	772.949	673.805	172.057	125.251	345.002	233.054	159.249	190.043	206	115.002	75.716	67	49
"AT3G16350"	89	116	136	140.815	124.056	56.049	293.939	248.998	117.182	104.256	308.006	233.001	303.958	136.783	303.087	224.039	150	115.886	133	271	110.324	125.97	79	85.472
"AT3G16360"	749.735	844.096	626.787	283.923	450.599	415.044	907.531	424.843	681.817	820.733	620.255	318.013	473.995	914.507	725.581	36	810.087	574.513	985.719	856.441	318.174	276.871	224.457	171.778
"AT3G16370"	1680.172	1910.274	1683.332	582.493	814.443	229.047	2615.454	4	2558.34	786.112	146.001	43.24	61.867	2251.843	1447.938	2	1590.233	1246.137	2039.77	1494.625	569.25	665.485	526.062	48.006
"AT3G16400"	2113.167	2626.395	2808.179	7416.101	9690.838	9931.822	1590.835	8080.16	5163.864	6355.087	20718.543	19741.546	20569.074	3067.482	1630.448	5646.031	4046.818	2927.277	2666.675	990.503	3337.718	3393.274	3024.55	1148.414
"AT3G16420"	4486.54	5450.954	5342.322	10597.783	13235.923	12013.55	3035.441	2395.753	6710.204	8093.167	9872.201	6662.213	7759.829	4622.987	3608.495	4544.831	8281.716	6545.903	4274.46	3157.14	12514.716	12253.565	9660.013	4193.278
"AT3G16430"	27.006	22.721	33	59.01	62.038	55.014	17.111	10	45	39.011	28.003	28.864	27.218	31	24	44	55	33	30	10	55.145	48.015	35.003	17
"AT3G16450"	68.464	92.995	122	595.867	771.164	548.865	30	345.367	208.849	453.197	808.922	510.635	687.307	44	18	625.799	105	61.529	46	22	120.998	173.988	127	27
"AT3G16460"	1501.01	2235.726	2283.257	3393.287	3936.395	2065.991	739.332	1061.166	1773.588	2095.65	3517.589	2834.811	3068.728	1197.693	990.281	1416.451	1515.169	1191.823	947.217	872.562	2143.592	1880.744	1726.087	746.527
"AT3G16470"	7023.555	7457.49	7803.144	28145.353	37049.854	50448.935	2904.106	143356.679	1553.35	7165.854	11904.311	14671.732	15862.141	2625.075	1263.368	9501.077	1251.131	1061.933	2767.472	364.06	1097.623	840.371	836.396	463.102
"AT3G16480"	827.31	957.461	898.029	726.733	674.372	391.333	721.486	503.644	781.871	673.071	706.677	689.192	751.679	859.148	648.266	575.823	1172.865	1016.533	907.721	850.346	1027.123	924.7	760.225	675.828
"AT3G16500"	1556.403	1728.601	1639.714	1958.637	2299.409	3387.76	912.938	2997.163	1470.13	1918.081	2918.592	2239.233	2715.097	989.402	887.841	1990.837	2060.017	1915.675	1040.739	1080.614	3194.299	2769.654	2224.234	1993.128
